ADMIN1;ADMIN2;FUNC1;2018_EXECUTED;2018_ADJUSTED;2019_EXECUTED;2019_ADJUSTED;2020_EXECUTED;2020_ADJUSTED;2021_EXECUTED;2021_ADJUSTED;2022_EXECUTED;2022_ADJUSTED;2023_EXECUTED;2023_ADJUSTED;2024_EXECUTED;2024_ADJUSTED;2025_EXECUTED;2025_ADJUSTED;2026_EXECUTED;2026_ADJUSTED
Місцеві бюджети;Дніпропетровська обл.;1000 Соціальний захист та соціальне забезпечення;10847839239.46;10870483739.48;7479557637.43;7775542850.36;2012411952.91;2095656840.93;2438649207.39;2454064851.5;2848596740.01;3137094250.37;4421709601.52;4452445167.92;5282075549.99;5333916411.71;4999068387.24;5128560260.57;691432821.53;4895998407.23
Місцеві бюджети;Дніпропетровська обл.;-9 не існує;;;;;;;;;;;;;151632304.67;194924770;;;203700;500849762.14
Місцеві бюджети;Донецька обл.;;35929479883.84;41011676248.18;32795265142.85;38640972544.52;27157845860.96;30429751757.86;33374312632.53;35878307836;15358103235.2;29459597841.48;18632109252.19;24262997161.09;22690106415.6;27020652593.27;21944291718.15;24836315065.45;2251015572.35;15582145567.59
Місцеві бюджети;Донецька обл.;0100 Загальнодержавні функції;9819068382.16;10090227124.69;7792557289.72;8594662405.93;5056319731.03;5578901061.47;5769852421.22;6093252084.88;2738430930.49;4813798051.7;5018038442.85;6298929262.93;7914779137.66;8440787514.01;9419823060.69;10704290507.42;983366909.9;4264773555
Місцеві бюджети;Донецька обл.;0300 Громадський порядок, безпека та судова влада;98822489.89;101277576.31;69349720.05;66462940.48;102262311.52;97217685.83;96781051.04;93228745.51;836826622.32;1203745815.95;1067703806.15;1146183411.82;2774738917.05;2910021441.78;2162115153.46;2277387083.33;91655290.57;704212345.56
Місцеві бюджети;Донецька обл.;0400 Економічна діяльність;3641842883.72;5628594633.04;3258334697.51;5501628873.69;6662649720.52;8257747540.86;6880998689.98;8191545548.7;1082064600.38;4735499040.45;2470031417.03;4736320594.46;1427086312.36;3867827853.9;1459169730.67;2141410299.11;70954903.92;1846686984.23
Місцеві бюджети;Донецька обл.;0500 Охорона навколишнього природного середовища;767496624.65;1466086372.69;693483208.2;1212760512.69;598724115.23;1077724924.1;604827147.79;1052462820.46;63848219.63;589244567.41;91761907.08;162259711.66;54278807.9;158626154.16;96546965.85;180345839.24;3406240.09;36470500
Місцеві бюджети;Донецька обл.;0600 Житлово-комунальне господарство;1882496387.43;2332472271.39;2403251655.93;2808947751.62;1745219296.67;1774190241.74;5428207496.56;5653340370.65;1793824533.39;3646293820.42;3056773469.94;3602514724.45;2770807383.72;2997848215.68;2139316910.05;2483244548.73;232528417.24;1693560651
Місцеві бюджети;Донецька обл.;0700 Охорона здоров'я;4786480245.33;5298353461.88;4635054336.72;5060771028.8;2652329442.89;2834307510.46;1531015844.24;1458547960.75;595273803.98;1258843413.19;629352290.68;771771245.33;674671282.41;841093150.27;624661454.33;748491072.13;74396220.67;695092427.25
Місцеві бюджети;Донецька обл.;0800 Духовний та фізичний розвиток;870093193.94;1068057499.94;1085874500.71;1303120653.31;1084461822.59;1154562223.99;1453465709.5;1559900174.01;698338260.4;1231210594.42;568004963.14;692173353.78;691794373.24;786679099.37;618620173.13;651440859.29;89817699.58;665577764.08
Місцеві бюджети;Донецька обл.;0900 Освіта;7407978298.95;8170129344.47;8193605434.17;8864046697.09;8100977083.91;8462682696.45;10230375580.61;10394565091.1;6628043802.41;10183512480.13;4377463340.5;5081182370.33;4566431305.61;4933333365.2;4062186173.48;4172722446.83;619275702.81;3761783553.8
