тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
fundType;programCode;programCodeName;yearBeginPlan;yearCorrectionPlan;periodCorrectionPlan;openAllocPeriod;directedAllocPeriod;periodDone;deviationToPeriodCorrectionPlan;percentDoneToPeriodCorrectionPlan;percentDoneToYearCorrectionPlan
TOTAL;1001200;"Державна підтримка фізкультурно-спортивного товариства ""Динамо"" України на організацію та проведення роботи з розвитку фізичної культури і спорту серед працівників і військовослужбовців правоохоронних органів";49918100;13645700;;;;13645692.05;;;99.99
TOTAL;1001210;Видатки для Міністерства внутрішніх справ України на реалізацію заходів щодо підвищення обороноздатності і безпеки держави;6081377800;0;;;;0;;;
TOTAL;1001220;Створення єдиної авіаційної системи безпеки та цивільного захисту;2660567000;2525749900;;;;2438951065.5;;;96.56
TOTAL;1002000;Адміністрація Державної прикордонної служби України;36439361600;66889647306;;;;66416849255.14;;;99.29
TOTAL;1002010;Керівництво та управління у сфері охорони державного кордону України;533486600;654731000;;;;654731000;;;100
TOTAL;1002030;Забезпечення виконання завдань, функцій та підготовка кадрів Державної прикордонної служби України;34442331100;64526747790;;;;64062459198.77;;;99.28
TOTAL;1002070;Будівництво (придбання) житла для військовослужбовців Державної прикордонної служби України;200000000;94458727;;;;94415727.14;;;99.95
TOTAL;1002110;Розвідувальна діяльність у сфері захисту державного кордону;324725800;502891689;;;;502891570.89;;;99.99
TOTAL;1002150;Cтворення системи охорони морських кордонів;932818100;1104818100;;;;1102351758.34;;;99.77
TOTAL;1002600;Реалізація проекту з розбудови підрозділів охорони кордону;6000000;6000000;;;;0;;;0
TOTAL;1003000;Національна гвардія України;51246432300;101529519964.87;;;;101202675219.36;;;99.67
TOTAL;1003010;Керівництво та управління Національною гвардією України;449410200;579605000;;;;579605000;;;100
TOTAL;1003020;Забезпечення виконання завдань, функцій та підготовка кадрів Національної гвардії України;50556292300;100701612315.19;;;;100390939524.58;;;99.69
TOTAL;1003090;Будівництво (придбання) житла для військовослужбовців Національної гвардії України;240729800;248302649.68;;;;232130694.78;;;93.48
TOTAL;1004000;Державна міграційна служба України;4083437100;4082409950;;;;3720983054.94;;;91.14
TOTAL;1004010;Керівництво та управління у сфері міграції, громадянства, імміграції та реєстрації фізичних осіб;159298400;178512580;;;;168381412.05;;;94.32
TOTAL;1004020;Забезпечення виконання завдань та функцій у сфері громадянства, імміграції та реєстрації фізичних осіб;3923032400;3902596670;;;;3551367731.09;;;91
TOTAL;1004070;Внески до Міжнародної організації з міграції;1106300;1300700;;;;1233911.8;;;94.86
TOTAL;1006000;Державна служба України з надзвичайних ситуацій;36229780600;53629638560;;;;52334718658.82;;;97.58
TOTAL;1006010;Керівництво та управління у сфері надзвичайних ситуацій;291059400;341660928;;;;341456019.25;;;99.94
TOTAL;1006060;Гідрометеорологічна діяльність;689723900;742074560;;;;732484333.72;;;98.7
TOTAL;1006070;Наукова і науково-технічна діяльність у сфері гідрометеорології;40784200;41278597;;;;39330481.93;;;95.28
TOTAL;1006110;Будівництво (придбання) житла для осіб рядового і начальницького складу Державної служби України з надзвичайних ситуацій;30000000;77756000;;;;77640627.23;;;99.85
TOTAL;1006280;Забезпечення діяльності сил цивільного захисту;34083500500;49012866758;;;;48781195370.52;;;99.52
TOTAL;1006360;Підготовка кадрів,  наукова і науково-технічна діяльність у сфері цивільного захисту і пожежної безпеки;1094712600;1970043792;;;;1818653901.17;;;92.31
TOTAL;1006700;Надання гуманітарної допомоги Федеративній Демократичній Республіці Ефіопія та Федеративній Республіці Сомалі;0;543957925;;;;543957925;;;100
TOTAL;1006710;Надання гуманітарної допомоги державам Африки та Азії;0;900000000;;;;0;;;0
TOTAL;1007000;Національна поліція України;69081768000;110507172257.59;;;;109304058687.53;;;98.91
TOTAL;1007010;Керівництво та управління діяльністю Національної поліції України;1256791300;2178594800;;;;2178594379.44;;;99.99
TOTAL;1007020;Забезпечення діяльності органів, установ та закладів Національної поліції України;67824976700;108328577457.59;;;;107125464308.09;;;98.88
TOTAL;1200000;Міністерство економіки України;20822480300;38536825464.42;;;;36533284198.46;;;94.8
